COMPANY_NAME,,Full Name
RACHAKA,ENTERPRISES,RACHAKA ENTERPRISES
DILIGENT,INDUSTRIES,DILIGENT INDUSTRIES
SESHACHAL,TECHNOLOGIES,SESHACHAL TECHNOLOGIES
BRANDIX,APPAREL,BRANDIX APPAREL
BVL,INFRASTRUCTURE,BVL INFRASTRUCTURE
ABHYUDAYA,PROJECTS,ABHYUDAYA PROJECTS
MARWELL,ARCHITECTS,MARWELL ARCHITECTS
ROCKWORTH,SYSTEMS,ROCKWORTH SYSTEMS
SREE,SANNIDHI,SREE SANNIDHI
ROKIN,GRANITES,ROKIN GRANITES
ATR,WAREHOUSING,ATR WAREHOUSING
BLUE,MOUNTAIN,BLUE MOUNTAIN
THINKCELL,LEARNING,THINKCELL LEARNING
BLUE,STREAK,BLUE STREAK
FORE,TRANSCRIPTIONS,FORE TRANSCRIPTIONS
VEEAR,INFEXCHANGE,VEEAR INFEXCHANGE
ASAP-Y,SOURCING,ASAP-Y SOURCING
UDAGAMANDALAM,FARMS,UDAGAMANDALAM FARMS
VERTEX,INFRATECH,VERTEX INFRATECH
BBM,ESTATES,BBM ESTATES
VISAKHA,VALLEY,VISAKHA VALLEY
PRABHU,RESORTS,PRABHU RESORTS
EXCEL,HOLIDAYS,EXCEL HOLIDAYS
RAJ,CLUBS,RAJ CLUBS
PRADHANA,HOTELS,PRADHANA HOTELS
SRI,SRINIVASA,SRI SRINIVASA
SHREE,LALITA,SHREE LALITA
SUNRAY,RESORTS,SUNRAY RESORTS
CLASSIC,GUEST,CLASSIC GUEST
BVR,MALLS,BVR MALLS
KOSTA,WATER,KOSTA WATER
GOLDEN,HARVEST,GOLDEN HARVEST
SRI,NAVODAYA,SRI NAVODAYA
VIJAYA,DURGA,VIJAYA DURGA
RAMESH,TRANSPORT,RAMESH TRANSPORT
VISHNU,VANDANA,VISHNU VANDANA
ASWANI,ROAD,ASWANI ROAD
EASTCOAST,CARRIERS,EASTCOAST CARRIERS
RELIABLE,TECHNOLOGIES,RELIABLE TECHNOLOGIES
MAYURI,ROAD,MAYURI ROAD
JUNGERNAUT,TRANSPORT,JUNGERNAUT TRANSPORT
VIZAG,LORRY,VIZAG LORRY
HINDUSTAN,COMMERCIAL,HINDUSTAN COMMERCIAL
CHITTOOR,MOTOR,CHITTOOR MOTOR
PVVR,HOSPITALITY,PVVR HOSPITALITY
KEERTHI,INN,KEERTHI INN
KUCHIPUDI,FOODS,KUCHIPUDI FOODS
BAMBOO,&,BAMBOO &
YALAMANCHILI,FOODS,YALAMANCHILI FOODS
MOKSHAGNA,FOOD,MOKSHAGNA FOOD
SUCHINDRAM,ENTERPRISES,SUCHINDRAM ENTERPRISES
VALENTINE,RESTAURANTS,VALENTINE RESTAURANTS
BLUE,WATERS,BLUE WATERS
SAI,VENKAT,SAI VENKAT
A,C,A C
MANOHARA,GREENS,MANOHARA GREENS
HELLO,CABS,HELLO CABS
KARTHIKEYA,TRAVEL,KARTHIKEYA TRAVEL
SNEHA,ROADLINES,SNEHA ROADLINES
SAI,RAM,SAI RAM
PURAVI,TRANSPORTS,PURAVI TRANSPORTS
VASAVI,TRANSPORT,VASAVI TRANSPORT
ANVIL,TRANS,ANVIL TRANS
ESSEMM,INTRAPORT,ESSEMM INTRAPORT
FINIKS,SHIPPING,FINIKS SHIPPING
NSR,COLD,NSR COLD
ELIOR,TRAVEL,ELIOR TRAVEL
JGD,MARINE,JGD MARINE
ISIS,SHIPPING,ISIS SHIPPING
FOUR,SQUARE,FOUR SQUARE
SRI,MEGHANA,SRI MEGHANA
SEAHORSE,MARITIME,SEAHORSE MARITIME
PRIDE,OFFSHORE,PRIDE OFFSHORE
NIMMANA,SHIPPING,NIMMANA SHIPPING
MEGASEA,SHIPPING,MEGASEA SHIPPING
SRIVALLI,SHIPPING,SRIVALLI SHIPPING
SAVEN,LOGISTICS,SAVEN LOGISTICS
M&N,SHIPPING,M&N SHIPPING
USHA,SHIPPING,USHA SHIPPING
INTERCONTINENTAL,SHIPPING,INTERCONTINENTAL SHIPPING
VISWAVIJETHA,SHIPPING,VISWAVIJETHA SHIPPING
SOUTH,INDIA,SOUTH INDIA
BLUE,OCEAN,BLUE OCEAN
MARITIME,PROFESSIONAL,MARITIME PROFESSIONAL
LAUREL,INNOVATIONS,LAUREL INNOVATIONS
SYNERGY,SHIPPING,SYNERGY SHIPPING
BKP,SHIPPING,BKP SHIPPING
BRIGHT,INTRA,BRIGHT INTRA
MANTRI,TECHNOLOGIES,MANTRI TECHNOLOGIES
PRATHYUSHA,STEVECON,PRATHYUSHA STEVECON
SHAKTI,BARGES,SHAKTI BARGES
WINNERS,SPINNINGS,WINNERS SPINNINGS
MARINE,LOGISTICS,MARINE LOGISTICS
COROMMANDEL,LOGISTICS,COROMMANDEL LOGISTICS
I.B.K,SHIPPING,I.B.K SHIPPING
VROYAL,TOURS,VROYAL TOURS
TRIPLE,LINE,TRIPLE LINE
MOONLIGHT,FOREX,MOONLIGHT FOREX
ACT,FORWARDERS,ACT FORWARDERS
R.V.L.,TRANSIT,R.V.L. TRANSIT
DANESH,CARGO,DANESH CARGO
CHANDRA,CFS,CHANDRA CFS
C.M.R.,TRANSPORT,C.M.R. TRANSPORT
KAABA,TRADING,KAABA TRADING
BIRYANIS,AND,BIRYANIS AND
VEMURI,HOTELS,VEMURI HOTELS
RRG,AGRO&FOOD,RRG AGRO&FOOD
SWAPNAALOK,HOTELS,SWAPNAALOK HOTELS
IZUMI,HOTELS,IZUMI HOTELS
KANIGOLLA,CONVENTION,KANIGOLLA CONVENTION
STARFOODS,(I),STARFOODS (I)
YUWA,MOBILE,YUWA MOBILE
LUMBINI,RECREATIONS,LUMBINI RECREATIONS
KAPIRAAJA,HIGHWAY,KAPIRAAJA HIGHWAY
SRIVARI,TOURISM,SRIVARI TOURISM
SRI,RAJARAJESWARI,SRI RAJARAJESWARI
ARUNODAYA,HOLIDAY,ARUNODAYA HOLIDAY
V.V.B.RESORTS,AND,V.V.B.RESORTS AND
LAHARI,RESORTS,LAHARI RESORTS
RAAMSAY,RESORTS,RAAMSAY RESORTS
SUNDAR,HOLIDAY,SUNDAR HOLIDAY
MELODY,RESORTS,MELODY RESORTS
ROCK,HEAVEN,ROCK HEAVEN
KURNOOL,HOSPITALITY,KURNOOL HOSPITALITY
JRK,MANA,JRK MANA
SVADAVAN,FOODS,SVADAVAN FOODS
VENKAT,GREENWAY,VENKAT GREENWAY
